Dates	,,COUNT-None-US,US	MEAN,MEAN,NEG-None-US,US	MEAN,MEAN,SUM-None-US,US	SUM,MEAN,SUM-None-US,US	MEAN,SUM,NEG-None-US,US	SUM,MEAN,NEG-None-US,US	SUM,SUM,NEG-None-US,US	MEAN,SUM,SUM-None-US,US	SUM,SUM,SUM-None-US,US
2001-05-25 00:00:00+00:00	4	0.125	0.0416666666667	0.25	0.5	0.25	1.0	0.166666666667	1.0
2001-05-26 00:00:00+00:00	1	0.642857142857	-0.0357142857143	-0.5	0.642857142857	9.0	9.0	-0.0357142857143	-0.5
2001-05-28 00:00:00+00:00	4	0.238461538462	-0.0825174825175	1.5	0.953846153846	1.5	6.0	-0.33006993007	6.0
2001-05-29 00:00:00+00:00	4	0.875	-0.291666666667	0.75	3.5	1.0	4.0	-1.16666666667	3.0
2001-05-30 00:00:00+00:00	2	0.0	0.666666666667	1.5	0.0	0.0	0.0	1.33333333333	3.0
2001-05-31 00:00:00+00:00	5	0.642719298246	-0.274122807018	2.85	3.21359649123	9.05	45.25	-1.37061403509	14.25
2001-06-01 00:00:00+00:00	1	1.0	-0.75	-3.0	1.0	4.0	4.0	-0.75	-3.0
2001-06-02 00:00:00+00:00	3	0.0555555555556	0.222222222222	1.33333333333	0.166666666667	0.333333333333	1.0	0.666666666667	4.0
2001-06-04 00:00:00+00:00	6	0.261111111111	-0.0944444444444	-0.833333333333	1.56666666667	2.5	15.0	-0.566666666667	-5.0
2001-06-05 00:00:00+00:00	5	0.0	0.25	0.4	0.0	0.0	0.0	1.25	2.0
2001-06-06 00:00:00+00:00	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-06-07 00:00:00+00:00	4	0.465277777778	0.270833333333	-0.625	1.86111111111	4.375	17.5	1.08333333333	-2.5
2001-06-08 00:00:00+00:00	4	0.3125	-0.3125	-2.5	1.25	2.5	10.0	-1.25	-10.0
2001-06-09 00:00:00+00:00	4	0.25	-0.0416666666667	0.25	1.0	0.25	1.0	-0.166666666667	1.0
2001-06-11 00:00:00+00:00	2	0.46875	0.28125	-3.0	0.9375	7.5	15.0	0.5625	-6.0
2001-06-12 00:00:00+00:00	3	0.0	0.166666666667	0.333333333333	0.0	0.0	0.0	0.5	1.0
2001-06-13 00:00:00+00:00	3	0.177777777778	0.688888888889	2.33333333333	0.533333333333	0.666666666667	2.0	2.06666666667	7.0
